epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2974.97,0.99912,1.02115,0.9929,0.54362,0.53993,0.54136,0.35243,1.26054,1.30349,1.15186,0.000606587,0.000606587,0.000606587
66,3019.98,0.99945,1.01008,0.99915,0.53846,0.5627,0.55691,0.33672,1.28836,1.28077,1.15632,0.00060405,0.00060405,0.00060405
67,3065.1,0.98534,1.00709,1.00313,0.51328,0.55714,0.56294,0.32522,1.28149,1.28661,1.16128,0.000601512,0.000601512,0.000601512
68,3110.12,1.01122,1.01277,0.99519,0.5922,0.57631,0.56095,0.34528,1.27493,1.33587,1.1589,0.000598974,0.000598974,0.000598974
69,3154.98,1.00877,0.96332,0.99052,0.58247,0.5406,0.567,0.36156,1.26953,1.30339,1.15605,0.000596436,0.000596436,0.000596436
70,3200.27,1.00063,0.98037,0.99419,0.5833,0.51947,0.55354,0.32508,1.24697,1.25972,1.14787,0.000593899,0.000593899,0.000593899
71,3245.16,0.99487,0.95947,0.99192,0.48169,0.53113,0.54258,0.31487,1.23562,1.22763,1.13266,0.000591361,0.000591361,0.000591361
72,3290.28,0.97066,0.98022,0.97916,0.50877,0.57126,0.56612,0.34643,1.2821,1.227,1.16566,0.000588823,0.000588823,0.000588823
73,3335.16,0.97518,0.95304,0.987,0.51221,0.54356,0.57222,0.35705,1.28562,1.20802,1.15852,0.000586286,0.000586286,0.000586286
74,3380.23,1.00803,0.97928,1.00125,0.50253,0.58393,0.55264,0.32441,1.29441,1.27466,1.15451,0.000583748,0.000583748,0.000583748
75,3425.43,0.99162,0.96184,0.9978,0.60437,0.52082,0.5543,0.35025,1.25219,1.288,1.14166,0.00058121,0.00058121,0.00058121
76,3470.73,0.95224,0.92623,0.97356,0.54077,0.54597,0.54036,0.31985,1.27688,1.24882,1.15602,0.000578672,0.000578672,0.000578672
77,3516.64,0.98558,0.96938,0.99084,0.56165,0.53635,0.56614,0.36059,1.25576,1.2461,1.14838,0.000576135,0.000576135,0.000576135
78,3561.51,0.95059,0.91462,0.9898,0.54477,0.52296,0.544,0.34336,1.26442,1.29435,1.13659,0.000573597,0.000573597,0.000573597
79,3606.56,0.94842,0.90585,0.97655,0.54396,0.6067,0.56767,0.36552,1.21704,1.24988,1.11887,0.000571059,0.000571059,0.000571059
80,3651.36,0.96008,0.91565,0.98102,0.53328,0.5586,0.56344,0.37545,1.26504,1.2449,1.15627,0.000568522,0.000568522,0.000568522
81,3696.23,0.9343,0.91029,0.97444,0.48697,0.58541,0.5635,0.36926,1.28108,1.20072,1.14946,0.000565984,0.000565984,0.000565984
82,3741.12,0.94123,0.88653,0.97888,0.59621,0.54362,0.55478,0.38358,1.2612,1.23532,1.14032,0.000563446,0.000563446,0.000563446
83,3788.12,0.92476,0.89801,0.96978,0.48848,0.56025,0.52757,0.34468,1.2365,1.29891,1.13261,0.000560909,0.000560909,0.000560909
84,3832.78,0.93966,0.90483,0.97177,0.61565,0.50973,0.5545,0.37404,1.25118,1.30654,1.14428,0.000558371,0.000558371,0.000558371
85,3877.46,0.94085,0.87661,0.96592,0.64765,0.47255,0.54724,0.36479,1.22144,1.31672,1.14056,0.000555833,0.000555833,0.000555833
86,3922.05,0.94031,0.86693,0.97733,0.52946,0.56433,0.56821,0.38236,1.21855,1.31159,1.14042,0.000553296,0.000553296,0.000553296
87,3969.11,0.92876,0.89181,0.96877,0.5847,0.5619,0.58154,0.37236,1.20336,1.23622,1.11762,0.000550758,0.000550758,0.000550758
88,4014.29,0.93254,0.8608,0.97271,0.54005,0.55789,0.55733,0.36074,1.24766,1.28063,1.13752,0.00054822,0.00054822,0.00054822
89,4059.42,0.92083,0.86034,0.96676,0.62086,0.48329,0.5603,0.34861,1.21682,1.29644,1.13355,0.000545682,0.000545682,0.000545682
90,4104.67,0.92553,0.83724,0.9723,0.66111,0.51772,0.56598,0.35605,1.26802,1.23399,1.14061,0.000543145,0.000543145,0.000543145
